Sample   ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
      312,0.984     ,0.99      ,0.346     ,0.0456    ,     10000
      313,0.841     ,-0.99     ,0.294     ,0.0532    ,     10000
      314,0.540     ,1.19      ,0.359     ,0.0478    ,     10000
      315,0.476     ,-2.98     ,0.526     ,0.0424    ,     10000
      316,0.413     ,-2.38     ,0.243     ,0.0424    ,     10000
      317,0.683     ,-1.39     ,0.076     ,0.0478    ,     10000
      318,0.587     ,0.00      ,0.371     ,0.0380    ,     10000
      319,0.873     ,3.57      ,0.513     ,0.0445    ,     10000
      320,0.794     ,-0.40     ,0.307     ,0.0608    ,     10000
      321,0.873     ,2.58      ,0.384     ,0.0576    ,     10000
      322,0.746     ,2.18      ,0.153     ,0.0489    ,     10000
      323,0.476     ,0.00      ,0.397     ,0.0434    ,     10000
      324,0.762     ,-0.20     ,0.153     ,0.0402    ,     10000
      325,0.825     ,1.19      ,0.294     ,0.0391    ,     10000
      326,0.746     ,1.59      ,0.140     ,0.0369    ,     10000
      327,0.873     ,-0.79     ,0.410     ,0.0554    ,     10000
      328,0.889     ,0.20      ,0.243     ,0.0500    ,     10000
      329,0.683     ,0.60      ,0.179     ,0.0598    ,     10000
      330,0.810     ,0.40      ,0.089     ,0.0587    ,     10000
      331,0.413     ,-2.38     ,0.230     ,0.0445    ,     10000
      332,0.698     ,-1.19     ,0.320     ,0.0434    ,     10000
      333,0.698     ,0.99      ,0.230     ,0.0434    ,     10000
      334,0.619     ,0.00      ,0.307     ,0.0402    ,     10000
      335,0.698     ,0.20      ,0.320     ,0.0630    ,     10000
      336,0.889     ,-1.59     ,0.114     ,0.0685    ,     10000
      337,0.857     ,0.60      ,0.346     ,0.0554    ,     10000
      338,0.540     ,2.18      ,0.140     ,0.0489    ,     10000
      339,0.730     ,1.59      ,0.256     ,0.0347    ,     10000
      340,0.746     ,-2.38     ,0.217     ,0.0511    ,     10000
      341,0.556     ,-0.99     ,0.333     ,0.0173    ,     10000
      342,0.635     ,-1.19     ,0.050     ,0.0402    ,     10000
      343,0.587     ,-1.19     ,0.359     ,0.0521    ,     10000
      344,0.794     ,-1.59     ,0.204     ,0.0532    ,     10000
      345,0.667     ,-1.19     ,0.269     ,0.0456    ,     10000
      346,0.810     ,4.96      ,0.397     ,0.0608    ,     10000
      347,0.857     ,0.60      ,0.436     ,0.0695    ,     10000
      348,0.524     ,-3.17     ,0.307     ,0.0456    ,     10000
      349,0.476     ,-0.60     ,0.436     ,0.0282    ,     10000
      350,0.571     ,1.39      ,0.307     ,0.0478    ,     10000
      351,0.746     ,-0.60     ,0.449     ,0.0239    ,     10000
      352,0.905     ,-0.79     ,0.307     ,0.0434    ,     10000
      353,0.810     ,-0.99     ,0.140     ,0.0380    ,     10000
      354,0.651     ,2.58      ,0.346     ,0.0608    ,     10000
      355,0.873     ,2.18      ,0.269     ,0.0456    ,     10000
      356,0.778     ,-1.79     ,0.384     ,0.0424    ,     10000
      357,0.794     ,-0.99     ,0.346     ,0.0380    ,     10000
      358,0.714     ,0.20      ,0.346     ,0.0521    ,     10000
      359,0.635     ,0.60      ,0.307     ,0.0424    ,     10000
      360,0.905     ,-1.39     ,0.076     ,0.0674    ,     10000
      361,0.762     ,-2.98     ,0.230     ,0.0369    ,     10000
      362,0.667     ,3.77      ,0.243     ,0.0728    ,     10000
      363,0.810     ,0.60      ,0.307     ,0.0521    ,     10000
      364,0.778     ,-2.38     ,0.243     ,0.0315    ,     10000
      365,0.667     ,-3.77     ,0.204     ,0.0293    ,     10000
      366,0.635     ,-0.99     ,0.050     ,0.0391    ,     10000
      367,0.810     ,0.00      ,0.449     ,0.0358    ,     10000
      368,0.508     ,0.00      ,0.230     ,0.0587    ,     10000
      369,0.984     ,0.79      ,0.114     ,0.0326    ,     10000
      370,0.889     ,1.19      ,0.397     ,0.0424    ,     10000
      371,0.683     ,0.60      ,0.371     ,0.0511    ,     10000
      372,0.825     ,1.19      ,0.294     ,0.0500    ,     10000
      373,0.778     ,-2.38     ,0.449     ,0.0217    ,     10000
      374,0.635     ,-1.59     ,0.461     ,0.0195    ,     10000
      375,0.794     ,-0.99     ,0.333     ,0.0402    ,     10000
      376,0.794     ,-0.40     ,0.346     ,0.0163    ,     10000
      377,0.841     ,0.79      ,0.269     ,0.0500    ,     10000
      378,0.651     ,1.59      ,0.410     ,0.0532    ,     10000
      379,1.079     ,3.17      ,0.487     ,0.0565    ,     10000
      380,0.762     ,2.18      ,0.307     ,0.0424    ,     10000
      381,0.810     ,-3.17     ,0.307     ,0.0304    ,     10000
      382,0.841     ,0.00      ,0.217     ,0.0239    ,     10000
      383,0.698     ,0.00      ,0.307     ,0.0337    ,     10000
      384,0.841     ,1.79      ,0.217     ,0.0347    ,     10000
      385,0.683     ,-0.99     ,0.269     ,0.0358    ,     10000
      386,1.016     ,-1.19     ,0.436     ,0.0576    ,     10000
      387,0.794     ,0.40      ,0.230     ,0.0467    ,     10000
      388,0.762     ,2.58      ,0.371     ,0.0565    ,     10000
      389,0.619     ,0.60      ,0.320     ,0.0326    ,     10000
      390,0.587     ,-0.99     ,0.346     ,0.0391    ,     10000
